STCKS_ID;MTRL;MTRL_DSCR;MTRL_TYPE;MTRL_BTCH;MTRL_STCK_UNRS;MTRL_STCK_RSTR;MTRL_STCK_TRNS;MTRL_STCK_QINS;MTRL_STCK_BLCK;MTRL_STCK_RTRN;MTRL_STCK_TOT;MTRL_STCK_UNT;MTRL_VAL_UNRS;MTRL_VAL_RSTR;MTRL_VAL_TRNS;MTRL_VAL_QINS;MTRL_VAL_BLCK;MTRL_VAL_RTRN;MTRL_VAL_TOT;MTRL_VAL_UNT;STRG_LOC
1528832;70021177;Material 70021177;VERP;3093-0607;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528833;70021178;Material 70021178;VERP;3086-0607;0.06;0.00;0.00;0.00;0.00;0.00;0.06;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528834;70021182;Material 70021182;VERP;3095-0607;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528835;70021183;Material 70021183;VERP;3107-0308;3.19;0.00;0.00;0.00;0.00;0.00;3.19;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528836;70021184;Material 70021184;VERP;3108-0308;3.44;0.00;0.00;0.00;0.00;0.00;3.44;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528837;70021185;Material 70021185;VERP;3055-0408;198.00;0.00;0.00;0.00;0.00;0.00;198.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528838;70021191;Material 70021191;VERP;3028-1207;13.19;0.00;0.00;0.00;0.00;0.00;13.19;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528839;70021191;Material 70021191;VERP;3049-0707;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528840;70021205;Material 70021205;VERP;3009-1108;18.14;0.00;0.00;0.00;0.00;0.00;18.14;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528841;70021205;Material 70021205;VERP;3073-1007;10.62;0.00;0.00;0.00;0.00;0.00;10.62;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528842;70021206;Material 70021206;VERP;3010-0908;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528843;70021206;Material 70021206;VERP;3021-0408;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528844;70021206;Material 70021206;VERP;3025-1107;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528845;70021206;Material 70021206;VERP;3036-0608;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528846;70021206;Material 70021206;VERP;3117-0908;9.63;0.00;0.00;0.00;0.00;0.00;9.63;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528847;70021206;Material 70021206;VERP;3131-0508;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528848;70021207;Material 70021207;VERP;3009-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528849;70021207;Material 70021207;VERP;3016-1107;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528850;70021207;Material 70021207;VERP;3082-0708;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528851;70021207;Material 70021207;VERP;3085-1008;30.60;0.00;0.00;0.00;0.00;0.00;30.60;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1528852;70021207;Material 70021207;VERP;3097-0908;6.47;0.00;0.00;0.00;0.00;0.00;6.47;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
